Index,Time_s,Current_A,Voltage_V,Relay,Voltage_source,Magnetic_flux_Vs
1,0,0.0000,0.0005,0,1,0
2,0.0439999999999987,0.0000,0.0000,1,1,1.09999999999997e-05
3,0.0939999999999994,-0.1920,-0.4505,1,1,-0.0112515000000002
4,0.195,-0.2940,-0.3560,1,1,-0.0519797500000005
5,0.244,-0.3200,-0.3505,1,1,-0.0692890000000003
6,0.292999999999999,-0.3355,-0.3630,1,1,-0.0867697500000001
7,0.343,-0.3475,-0.3790,1,1,-0.10531975
8,0.394,-0.3590,-0.3955,1,1,-0.1250695
9,0.443999999999999,-0.3700,-0.4105,1,1,-0.1452195
10,0.493,-0.3820,-0.4235,1,1,-0.165652500000001
11,0.543999999999999,-0.3950,-0.4340,1,1,-0.18751875
12,0.593999999999999,-0.4085,-0.4420,1,1,-0.20941875
13,0.642999999999999,-0.4225,-0.4480,1,1,-0.23122375
14,0.693999999999999,-0.4380,-0.4535,1,1,-0.254212
15,0.744,-0.4535,-0.4560,1,1,-0.2769495
16,0.792999999999999,-0.4695,-0.4585,1,1,-0.29935475
17,0.843,-0.4865,-0.4575,1,1,-0.32225475
18,0.892999999999999,-0.5040,-0.4565,1,1,-0.34510475
19,0.943999999999999,-0.5225,-0.4530,1,1,-0.368297
20,0.993,-0.5400,-0.4500,1,1,-0.390420500000001
21,1.043,-0.5595,-0.4450,1,1,-0.4127955
22,1.094,-0.5785,-0.4385,1,1,-0.43532475
23,1.144,-0.5980,-0.4315,1,1,-0.457074750000001
24,1.194,-0.6185,-0.4240,1,1,-0.47846225
25,1.244,-0.6350,-0.3840,1,1,-0.49866225
26,1.294,-0.6415,-0.3305,1,1,-0.51652475
27,1.344,-0.6440,-0.2820,1,1,-0.53183725
28,1.393,-0.6440,-0.2395,1,1,-0.544614
29,1.444,-0.6425,-0.2005,1,1,-0.555834
30,1.494,-0.6390,-0.1650,1,1,-0.5649715
31,1.544,-0.6345,-0.1335,1,1,-0.572434
32,1.594,-0.6285,-0.1055,1,1,-0.578409
33,1.643,-0.6220,-0.0805,1,1,-0.582966
34,1.695,-0.6140,-0.0570,1,1,-0.586541
35,1.744,-0.6050,-0.0365,1,1,-0.58883175
