Index,Time_s,Current_A,Voltage_V,Relay,Voltage_source,Magnetic_flux_Vs,h,b
1,0.0,0.0,0.0005,0,1,0.0,0.065,0.0
2,0.0439999999999987,0.0,0.0,1,1,1.09999999999997e-05,0.065,0.0
3,0.0939999999999994,-0.192,-0.4505,1,1,-0.0112515000000002,-0.5110000000000001,-120.0
4,0.195,-0.294,-0.356,1,1,-0.0519797500000005,-1.111,-183.74999999999997
5,0.244,-0.32,-0.3505,1,1,-0.0692890000000003,-1.5350000000000001,-200.0
6,0.292999999999999,-0.3355,-0.363,1,1,-0.0867697500000001,-1.948,-209.6875
7,0.343,-0.3475,-0.379,1,1,-0.10531975,-2.3674999999999997,-217.18749999999997
8,0.394,-0.359,-0.3955,1,1,-0.1250695,-2.807,-224.37499999999997
9,0.443999999999999,-0.37,-0.4105,1,1,-0.1452195,-3.265,-231.25
10,0.493,-0.382,-0.4235,1,1,-0.165652500000001,-3.7550000000000003,-238.75
11,0.543999999999999,-0.395,-0.434,1,1,-0.18751875,-4.28,-246.875
12,0.593999999999999,-0.4085,-0.442,1,1,-0.20941875,-4.836999999999999,-255.31249999999997
13,0.642999999999999,-0.4225,-0.448,1,1,-0.23122375,-5.427499999999999,-264.0625
14,0.693999999999999,-0.438,-0.4535,1,1,-0.254212,-6.066999999999999,-273.75
15,0.744,-0.4535,-0.456,1,1,-0.2769495,-6.7375,-283.4375
16,0.792999999999999,-0.4695,-0.4585,1,1,-0.29935475,-7.446999999999999,-293.43749999999994
17,0.843,-0.4865,-0.4575,1,1,-0.32225475,-8.2055,-304.0625
18,0.892999999999999,-0.504,-0.4565,1,1,-0.34510475,-9.007,-315.0
19,0.943999999999999,-0.5225,-0.453,1,1,-0.368297,-9.862499999999999,-326.56249999999994
20,0.993,-0.54,-0.45,1,1,-0.390420500000001,-10.735000000000001,-337.5
21,1.043,-0.5595,-0.445,1,1,-0.4127955,-11.6845,-349.6875
22,1.094,-0.5785,-0.4385,1,1,-0.43532475,-12.662,-361.5625
23,1.144,-0.598,-0.4315,1,1,-0.457074750000001,-13.689,-373.74999999999994
24,1.194,-0.6185,-0.424,1,1,-0.47846225,-14.779000000000002,-386.5625
25,1.244,-0.635,-0.384,1,1,-0.49866225,-15.81,-396.875
26,1.294,-0.6415,-0.3305,1,1,-0.51652475,-16.613999999999997,-400.93749999999994
27,1.344,-0.644,-0.282,1,1,-0.53183725,-17.323,-402.5
28,1.393,-0.644,-0.2395,1,1,-0.544614,-17.967,-402.5
29,1.444,-0.6425,-0.2005,1,1,-0.555834,-18.5675,-401.56249999999994
30,1.494,-0.639,-0.165,1,1,-0.5649715,-19.105,-399.375
31,1.544,-0.6345,-0.1335,1,1,-0.572434,-19.604499999999998,-396.56249999999994
32,1.594,-0.6285,-0.1055,1,1,-0.578409,-20.046999999999997,-392.81249999999994
33,1.643,-0.622,-0.0805,1,1,-0.582966,-20.461,-388.75
34,1.695,-0.614,-0.057,1,1,-0.586541,-20.811,-383.75
